Brand	Variety	Style	Stars
Great Value	Chicken Style Noodles With Vegetables	Cup	3.5
Great Value	Beef Style Ramen Noodles	Pack	3.5
Azami	Hot & Spicy Flavour Noodle Soup	Bowl	3.5
Western Family	Instant Noodles Chicken Flavour	Pack	3.5
Rooster	Kimchee Flavour Noodle Soup	Bowl	3.75
Rooster	Chili Chicken Flavour Noodle Soup	Bowl	3.75
Rooster	Chili Chicken Flavour Noodle Soup	Cup	4.0
Great Value	Spicy Ramen Noodles	Pack	4.0
Rooster	Chili Seafood Flavour	Pack	4.25
Sapporo Ichiban	Chow Mein Japanese Style Noodles Yakisoba	Pack	5.0
Plats Du Chef	Cuisine Adventures Chicken Pho Soup	Bowl	5.0
